,DMI,AO,AMON,NAO,NINO,PDO
1977-05-01,-0.341,0.104,-0.183,-1.62,0.2,-0.47
1977-06-01,-0.095,-0.226,-0.12,-0.89,0.3,0.03
1977-07-01,-0.171,-0.492,-0.119,-1.14,0.4,-0.06
1977-08-01,-0.26,-1.412,-0.158,-1.42,0.4,-0.09
1977-09-01,-0.259,0.586,-0.245,1.64,0.6,-0.64
1977-10-01,0.245,-0.009,-0.237,0.45,0.7,-0.84
1977-11-01,-0.127,0.605,-0.156,0.37,0.8,-0.45
1977-12-01,-0.02,-0.24,-0.218,-0.25,0.8,-0.06
1978-01-01,-0.64,-0.347,-0.119,0.46,0.7,0.58
1978-02-01,-0.53,-3.014,-0.16,-1.99,0.4,0.78
1978-03-01,-0.582,0.502,-0.171,3.1,0.1,1.13
1978-04-01,-0.214,-0.967,-0.208,-3.12,-0.2,1.03
1978-05-01,-0.533,0.059,-0.217,0.37,-0.3,0.77
1978-06-01,-0.174,0.635,-0.346,0.14,-0.3,0.33
1978-07-01,-0.107,-0.604,-0.289,-0.33,-0.4,-1.62
1978-08-01,-0.224,-0.354,-0.24,0.05,-0.4,-0.91
1978-09-01,-0.261,-0.099,-0.203,1.96,-0.4,-0.78
1978-10-01,-0.502,0.895,-0.22,0.02,-0.3,0.07
1978-11-01,-0.458,2.47,-0.132,3.91,-0.1,-0.01
1978-12-01,-0.26,-0.98,-0.195,-2.08,0.0,-0.51
1979-01-01,0.317,-2.233,-0.205,-3.22,0.0,-0.38
1979-02-01,-0.158,-0.697,-0.164,-0.62,0.1,-1.29
1979-03-01,-0.034,-0.814,-0.241,0.54,0.2,-0.68
1979-04-01,-0.207,-1.157,-0.25,-0.79,0.3,-0.12
1979-05-01,-0.444,-0.25,-0.13,1.0,0.2,0.57
1979-06-01,0.108,0.933,-0.055,0.45,0.0,0.22
1979-07-01,-0.315,0.039,-0.107,2.53,0.0,0.3
1979-08-01,-0.226,-0.684,-0.128,-0.85,0.2,0.05
1979-09-01,-0.28,-0.046,-0.122,1.12,0.3,0.88
1979-10-01,-0.314,-1.243,-0.1,-1.95,0.5,1.1
1979-11-01,-0.251,0.475,-0.098,1.95,0.5,0.58
1979-12-01,-0.101,1.295,-0.072,2.07,0.6,0.06
1980-01-01,-0.158,-2.066,-0.014,-1.8,0.6,0.06
1980-02-01,-0.2,-0.934,-0.091,0.7,0.5,0.58
1980-03-01,-0.417,-1.433,-0.151,-0.68,0.3,0.62
1980-04-01,-0.095,-0.419,-0.013,0.03,0.4,0.78
1980-05-01,-0.066,-1.155,0.117,-2.26,0.5,0.64
1980-06-01,-0.382,0.721,0.096,-0.21,0.5,-0.72
1980-07-01,-0.661,-0.622,0.038,-0.91,0.3,-0.21
1980-08-01,-0.822,-0.185,0.011,0.3,0.0,0.08
1980-09-01,-0.745,0.313,-0.02,1.72,-0.1,-0.13
1980-10-01,-0.657,-0.521,-0.074,-0.87,0.0,0.99
1980-11-01,-0.417,-1.361,-0.209,-2.06,0.1,0.71
1980-12-01,-0.483,-0.057,-0.261,1.55,0.0,0.3
1981-01-01,-0.201,-0.116,-0.189,1.0,-0.3,1.18
1981-02-01,-0.024,-0.332,-0.188,1.04,-0.5,1.24
1981-03-01,0.027,-1.645,-0.007,0.01,-0.5,1.22
1981-04-01,0.092,0.43,-0.103,-3.04,-0.4,1.07
1981-05-01,-0.018,0.18,-0.091,0.05,-0.3,1.29
1981-06-01,-0.24,-0.438,-0.07,-1.57,-0.3,1.82
1981-07-01,-0.56,0.561,-0.102,1.74,-0.3,0.82
1981-08-01,-0.628,-0.244,-0.123,1.01,-0.2,-0.05
1981-09-01,-0.757,-1.04,-0.044,0.27,-0.2,0.43
1981-10-01,-0.606,-1.167,-0.194,-1.06,-0.1,-0.09
1981-11-01,-0.328,-0.188,-0.144,1.66,-0.2,0.54
1981-12-01,-0.019,-1.216,-0.014,-2.2,-0.1,0.59
